Song Name,Popularity,Duration (min)
Hoşgeldiniz,32,2.0951
Suspus,62,4.146433333333333
Milyon Farklı Hikaye,42,3.77175
Ne De Zor,33,3.5179
Ders Al,38,4.047383333333333
Kime Anlatsam,41,3.4059333333333335
Kolay Gelsin,30,3.9602
Yok Geri Dönmek,44,3.5267
Bulanık Sular,31,2.564
Sor Bize,33,3.7949333333333333
Kim Olduğunu Unut,47,4.05925
Aç Kalbini,29,3.7414666666666667
Sessizlik,26,1.8504833333333333
Kapı,21,2.1877666666666666
Kim Bilir,55,4.185333333333333
Bir Minik Mikrofon,38,4.767333333333333
Eğer Beni Görürsen,22,3.90155
Onuncu Köy,28,4.328433333333333
Evinden Uzakta,26,4.131333333333333
Terzi,27,4.6371
Battle Edebiyatı,27,4.66955
Dünden Ne Kaldı,28,4.370216666666667
Kendi Kendine,25,4.486433333333333
Bir Var Bir Yok,28,4.65555
Çivi Gibi Çak,29,4.075333333333333
Dünya Dönüyor,25,4.63155
Al Senin Olsun,22,4.364433333333333
Outro,15,2.0164333333333335
Bu Bizim Yolumuz,23,4.432666666666667
Delight,50,3.4911
Rap Özgürlük Demek,26,3.1384333333333334
Ayrı Gayrı Yok,19,3.2651
Üzerimizde Gözler,26,3.848
Kapı Çalıyor Kim O,21,3.8397666666666668
Kaçıncı Asır Kaçıncı Basım,18,3.9808833333333333
Topraktandır Özümüz,17,3.5084333333333335
Bomba Plak,31,4.881766666666667
Paydos,22,3.51155
Mazide Kaldı,20,3.5182166666666665
Basit Bir Suç,36,4.470883333333333
Killa,19,3.3531
Hızlanma Vız Gelir,17,3.3482166666666666
Bal Peteğinde Sinek,17,3.7142166666666667
Geceden Korkma Gel,39,3.922433333333333
Bu Bizim Yolumuz - Orientation Remix,17,4.4877666666666665
Kemerini Bağla,29,3.536216666666667
Yerli Plaka,65,4.578216666666667
Gelsin Hayat Bildiği Gibi,66,4.930433333333333
Şaşkın Oğlan,33,4.04155
Sen Oyna Dilber,35,3.186
Dark Places,41,4.935333333333333
Orientjazz,26,4.8231
Efkar Perdesi,29,4.254666666666667
Hadi Bize Bağlan,33,4.669333333333333
Fark Var,54,4.2584333333333335
Gece Gündüz Karışmaz,27,4.965333333333334
Pusulam Yok,30,5.5971
Önce Kendine Bak,31,4.925333333333334
Gene Elde Mendil,24,6.2731
Acı Biber,37,3.828883333333333
Hiza ve Nizam Yok,36,4.522
Ne Benim,29,3.704
Intro,33,1.6764333333333334
Ben Ağlamazken,53,4.048
Holocaust,63,3.4624333333333333
Rapstar,49,3.3371
Bu Rap Muharebe (feat. Fuat),36,3.1104333333333334
Araturka Faslı,32,0.8313333333333334
Sinekler ve Beatler (feat. Sahtiyan - Ayben),31,2.578666666666667
Panorama Harem,52,3.288883333333333
Anneme,42,1.18155
Tamam (feat. Fjarde Varlden),33,3.8426666666666667
Sabah Bastı Geceyi (Savaş Çocukları Part 2),45,2.56955
Neyim Var Ki (feat. Sagopa K),70,3.4448833333333333
Fatalrhyme V.I.P.,36,2.7064333333333335
